0, 258.398 16.704 258.398 16.8381 258.398 16.9723 258.398 17.1064 258.398 17.2405 258.398 17.3746 258.398 17.5087 258.398 17.6429 258.398 17.777 258.398 17.9111 258.398 18.0453 258.398 18.1794 258.398 18.3135 258.398 18.4476 258.398 18.5817 258.398 18.7159 258.398 21.407 258.398 21.2918 258.398 21.1765 258.398 21.0613 258.398 20.946 258.398 20.8307 258.398 20.7155 258.398 20.6002 258.398 20.485 258.398 20.3697 258.398 20.2545 258.398 20.1393 258.398 20.024 258.398 19.9087 258.398 19.7935 258.398 19.6782 258.398 11.919 258.398 11.8879 258.398 11.8569 258.398 11.8258 258.398 11.7948 258.398 11.7637 258.398 11.7326 258.398 11.7016 258.398 11.6705 258.398 11.6394 258.398 11.6084 258.398 11.5773 258.398 11.5463 258.398 11.5152 258.398 11.4841 258.398 11.4531 258.398 2.97 258.398 3.03812 258.398 3.10625 258.398 3.17438 258.398 3.2425 258.398 3.31062 258.398 3.37875 258.398 3.44688 258.398 3.515 258.398 3.58312 258.398 3.65125 258.398 3.71938 258.398 3.7875 258.398 3.85562 258.398 3.92375 258.398 3.99188 258.398 8.526 258.398 8.48738 258.398 8.44875 258.398 8.41012 258.398 8.3715 258.398 8.33287 258.398 8.29425 258.398 8.25563 258.398 8.217 258.398 8.17837 258.398 8.13975 258.398 8.10112 258.398 8.0625 258.398 8.02388 258.398 7.98525 258.398 7.94662 258.398 2.229 258.398 2.43106 258.398 2.63312 258.398 2.83519 258.398 3.03725 258.398 3.23931 258.398 3.44137 258.398 3.64344 258.398 3.8455 258.398 4.04756 258.398 4.24962 258.398 4.45169 258.398 4.65375 258.398 4.85581 258.398 5.05787 258.398 5.25994 258.398 1.334 258.398 1.40656 258.398 1.47913 258.398 1.55169 258.398 1.62425 258.398 1.69681 258.398 1.76938 258.398 1.84194 258.398 1.9145 258.398 1.98706 258.398 2.05963 258.398 2.13219 258.398 2.20475 258.398 2.27731 258.398 2.34988 258.398 2.42244 258.398 1.705 258.398 1.69906 258.398 1.69313 258.398 1.68719 258.398 1.68125 258.398 1.67531 258.398 1.66938 258.398 1.66344 258.398 1.6575 258.398 1.65156 258.398 1.64563 258.398 1.63969 258.398 1.63375 258.398 1.62781 258.398 1.62188 258.398 1.61594 ;
1, 258.398 16.748 258.398 16.9494 258.398 17.1508 258.398 17.3521 258.398 17.5535 258.398 17.7549 258.398 17.9563 258.398 18.1576 258.398 18.359 258.398 18.5604 258.398 18.7618 258.398 18.9631 258.398 19.1645 258.398 19.3659 258.398 19.5673 258.398 19.7686 258.398 20.943 258.398 20.7404 258.398 20.5379 258.398 20.3353 258.398 20.1328 258.398 19.9302 258.398 19.7276 258.398 19.5251 258.398 19.3225 258.398 19.1199 258.398 18.9174 258.398 18.7148 258.398 18.5123 258.398 18.3097 258.398 18.1071 258.398 17.9046 258.398 16.47 258.398 16.5202 258.398 16.5705 258.398 16.6207 258.398 16.671 258.398 16.7212 258.398 16.7715 258.398 16.8217 258.398 16.872 258.398 16.9222 258.398 16.9725 258.398 17.0227 258.398 17.073 258.398 17.1232 258.398 17.1735 258.398 17.2237 258.398 4.826 258.398 4.90987 258.398 4.99375 258.398 5.07762 258.398 5.1615 258.398 5.24537 258.398 5.32925 258.398 5.41312 258.398 5.497 258.398 5.58087 258.398 5.66475 258.398 5.74862 258.398 5.8325 258.398 5.91637 258.398 6.00025 258.398 6.08412 258.398 7.556 258.398 7.38644 258.398 7.21687 258.398 7.04731 258.398 6.87775 258.398 6.70819 258.398 6.53863 258.398 6.36906 258.398 6.1995 258.398 6.02994 258.398 5.86038 258.398 5.69081 258.398 5.52125 258.398 5.35169 258.398 5.18213 258.398 5.01256 258.398 2.222 258.398 2.55644 258.398 2.89088 258.398 3.22531 258.398 3.55975 258.398 3.89419 258.398 4.22863 258.398 4.56306 258.398 4.8975 258.398 5.23194 258.398 5.56638 258.398 5.90081 258.398 6.23525 258.398 6.56969 258.398 6.90413 258.398 7.23856 258.398 1.291 258.398 1.275 258.398 1.259 258.398 1.243 258.398 1.227 258.398 1.211 258.398 1.195 258.398 1.179 258.398 1.163 258.398 1.147 258.398 1.131 258.398 1.115 258.398 1.099 258.398 1.083 258.398 1.067 258.398 1.051 258.398 1.477 258.398 1.25944 258.398 1.04188 258.398 0.824313 258.398 0.60675 258.398 0.389188 258.398 0.171625 258.398 -0.0459375 258.398 -0.2635 258.398 -0.481062 258.398 -0.698625 258.398 -0.916187 258.398 -1.13375 258.398 -1.35131 258.398 -1.56887 258.398 -1.78644 ;
2, 258.398 15.197 258.398 15.4139 258.398 15.6307 258.398 15.8476 258.398 16.0645 258.398 16.2814 258.398 16.4982 258.398 16.7151 258.398 16.932 258.398 17.1489 258.398 17.3657 258.398 17.5826 258.398 17.7995 258.398 18.0164 258.398 18.2332 258.398 18.4501 258.398 21.218 258.398 21.1026 258.398 20.9871 258.398 20.8717 258.398 20.7563 258.398 20.6408 258.398 20.5254 258.398 20.4099 258.398 20.2945 258.398 20.1791 258.398 20.0636 258.398 19.9482 258.398 19.8328 258.398 19.7173 258.398 19.6019 258.398 19.4864 258.398 14.28 258.398 14.336 258.398 14.392 258.398 14.448 258.398 14.504 258.398 14.56 258.398 14.616 258.398 14.672 258.398 14.728 258.398 14.784 258.398 14.84 258.398 14.896 258.398 14.952 258.398 15.008 258.398 15.064 258.398 15.12 258.398 4.627 258.398 4.63894 258.398 4.65088 258.398 4.66281 258.398 4.67475 258.398 4.68669 258.398 4.69862 258.398 4.71056 258.398 4.7225 258.398 4.73444 258.398 4.74638 258.398 4.75831 258.398 4.77025 258.398 4.78219 258.398 4.79413 258.398 4.80606 258.398 7.348 258.398 7.46012 258.398 7.57225 258.398 7.68437 258.398 7.7965 258.398 7.90862 258.398 8.02075 258.398 8.13287 258.398 8.245 258.398 8.35712 258.398 8.46925 258.398 8.58137 258.398 8.6935 258.398 8.80562 258.398 8.91775 258.398 9.02987 258.398 2.566 258.398 2.77919 258.398 2.99238 258.398 3.20556 258.398 3.41875 258.398 3.63194 258.398 3.84513 258.398 4.05831 258.398 4.2715 258.398 4.48469 258.398 4.69788 258.398 4.91106 258.398 5.12425 258.398 5.33744 258.398 5.55063 258.398 5.76381 258.398 1.402 258.398 1.24862 258.398 1.09525 258.398 0.941875 258.398 0.7885 258.398 0.635125 258.398 0.48175 258.398 0.328375 258.398 0.175 258.398 0.021625 258.398 -0.13175 258.398 -0.285125 258.398 -0.4385 258.398 -0.591875 258.398 -0.74525 258.398 -0.898625 258.398 1.081 258.398 1.0835 258.398 1.086 258.398 1.0885 258.398 1.091 258.398 1.0935 258.398 1.096 258.398 1.0985 258.398 1.101 258.398 1.1035 258.398 1.106 258.398 1.1085 258.398 1.111 258.398 1.1135 258.398 1.116 258.398 1.1185 ;
3, 258.398 17.474 258.398 17.6524 258.398 17.8308 258.398 18.0091 258.398 18.1875 258.398 18.3659 258.398 18.5442 258.398 18.7226 258.398 18.901 258.398 19.0794 258.398 19.2578 258.398 19.4361 258.398 19.6145 258.398 19.7929 258.398 19.9712 258.398 20.1496 258.398 23.456 258.398 23.3901 258.398 23.3242 258.398 23.2584 258.398 23.1925 258.398 23.1266 258.398 23.0607 258.398 22.9949 258.398 22.929 258.398 22.8631 258.398 22.7973 258.398 22.7314 258.398 22.6655 258.398 22.5996 258.398 22.5338 258.398 22.4679 258.398 17.782 258.398 17.8109 258.398 17.8399 258.398 17.8688 258.398 17.8977 258.398 17.9267 258.398 17.9556 258.398 17.9846 258.398 18.0135 258.398 18.0424 258.398 18.0714 258.398 18.1003 258.398 18.1292 258.398 18.1582 258.398 18.1871 258.398 18.2161 258.398 5.228 258.398 5.22275 258.398 5.2175 258.398 5.21225 258.398 5.207 258.398 5.20175 258.398 5.1965 258.398 5.19125 258.398 5.186 258.398 5.18075 258.398 5.1755 258.398 5.17025 258.398 5.165 258.398 5.15975 258.398 5.1545 258.398 5.14925 258.398 8.968 258.398 9.04669 258.398 9.12538 258.398 9.20406 258.398 9.28275 258.398 9.36144 258.398 9.44013 258.398 9.51881 258.398 9.5975 258.398 9.67619 258.398 9.75487 258.398 9.83356 258.398 9.91225 258.398 9.99094 258.398 10.0696 258.398 10.1483 258.398 3.531 258.398 3.78575 258.398 4.0405 258.398 4.29525 258.398 4.55 258.398 4.80475 258.398 5.0595 258.398 5.31425 258.398 5.569 258.398 5.82375 258.398 6.0785 258.398 6.33325 258.398 6.588 258.398 6.84275 258.398 7.0975 258.398 7.35225 258.398 1.79 258.398 1.50994 258.398 1.22988 258.398 0.949813 258.398 0.66975 258.398 0.389687 258.398 0.109625 258.398 -0.170437 258.398 -0.4505 258.398 -0.730563 258.398 -1.01063 258.398 -1.29069 258.398 -1.57075 258.398 -1.85081 258.398 -2.13087 258.398 -2.41094 258.398 1.125 258.398 1.20856 258.398 1.29213 258.398 1.37569 258.398 1.45925 258.398 1.54281 258.398 1.62638 258.398 1.70994 258.398 1.7935 258.398 1.87706 258.398 1.96063 258.398 2.04419 258.398 2.12775 258.398 2.21131 258.398 2.29488 258.398 2.37844 ;
4, 258.398 14.669 258.398 14.9912 258.398 15.3134 258.398 15.6356 258.398 15.9578 258.398 16.2799 258.398 16.6021 258.398 16.9243 258.398 17.2465 258.398 17.5687 258.398 17.8909 258.398 18.2131 258.398 18.5353 258.398 18.8574 258.398 19.1796 258.398 19.5018 258.398 23.788 258.398 23.7049 258.398 23.6219 258.398 23.5388 258.398 23.4558 258.398 23.3727 258.398 23.2896 258.398 23.2066 258.398 23.1235 258.398 23.0404 258.398 22.9574 258.398 22.8743 258.398 22.7912 258.398 22.7082 258.398 22.6251 258.398 22.5421 258.398 18.452 258.398 18.3265 258.398 18.201 258.398 18.0755 258.398 17.95 258.398 17.8245 258.398 17.699 258.398 17.5735 258.398 17.448 258.398 17.3225 258.398 17.197 258.398 17.0715 258.398 16.946 258.398 16.8205 258.398 16.695 258.398 16.5695 258.398 3.548 258.398 3.58669 258.398 3.62538 258.398 3.66406 258.398 3.70275 258.398 3.74144 258.398 3.78012 258.398 3.81881 258.398 3.8575 258.398 3.89619 258.398 3.93487 258.398 3.97356 258.398 4.01225 258.398 4.05094 258.398 4.08962 258.398 4.12831 258.398 11.402 258.398 11.4484 258.398 11.4947 258.398 11.5411 258.398 11.5875 258.398 11.6339 258.398 11.6802 258.398 11.7266 258.398 11.773 258.398 11.8194 258.398 11.8657 258.398 11.9121 258.398 11.9585 258.398 12.0049 258.398 12.0512 258.398 12.0976 258.398 3.925 258.398 4.30319 258.398 4.68138 258.398 5.05956 258.398 5.43775 258.398 5.81594 258.398 6.19413 258.398 6.57231 258.398 6.9505 258.398 7.32869 258.398 7.70688 258.398 8.08506 258.398 8.46325 258.398 8.84144 258.398 9.21963 258.398 9.59781 258.398 1.297 258.398 0.974937 258.398 0.652875 258.398 0.330812 258.398 0.00875 258.398 -0.313313 258.398 -0.635375 258.398 -0.957438 258.398 -1.2795 258.398 -1.60156 258.398 -1.92363 258.398 -2.24569 258.398 -2.56775 258.398 -2.88981 258.398 -3.21188 258.398 -3.53394 258.398 1.267 258.398 1.28687 258.398 1.30675 258.398 1.32663 258.398 1.3465 258.398 1.36638 258.398 1.38625 258.398 1.40613 258.398 1.426 258.398 1.44588 258.398 1.46575 258.398 1.48563 258.398 1.5055 258.398 1.52538 258.398 1.54525 258.398 1.56513 ;
5, 258.398 9.988 258.398 10.3116 258.398 10.6351 258.398 10.9587 258.398 11.2822 258.398 11.6058 258.398 11.9294 258.398 12.2529 258.398 12.5765 258.398 12.9001 258.398 13.2236 258.398 13.5472 258.398 13.8708 258.398 14.1943 258.398 14.5179 258.398 14.8414 258.398 24.34 258.398 24.2896 258.398 24.2391 258.398 24.1887 258.398 24.1382 258.398 24.0878 258.398 24.0374 258.398 23.9869 258.398 23.9365 258.398 23.8861 258.398 23.8356 258.398 23.7852 258.398 23.7347 258.398 23.6843 258.398 23.6339 258.398 23.5834 258.398 14.848 258.398 14.7381 258.398 14.6281 258.398 14.5182 258.398 14.4083 258.398 14.2983 258.398 14.1884 258.398 14.0784 258.398 13.9685 258.398 13.8586 258.398 13.7486 258.398 13.6387 258.398 13.5288 258.398 13.4188 258.398 13.3089 258.398 13.1989 258.398 1.282 258.398 1.32463 258.398 1.36725 258.398 1.40987 258.398 1.4525 258.398 1.49513 258.398 1.53775 258.398 1.58038 258.398 1.623 258.398 1.66563 258.398 1.70825 258.398 1.75088 258.398 1.7935 258.398 1.83613 258.398 1.87875 258.398 1.92138 258.398 10.002 258.398 10.029 258.398 10.056 258.398 10.083 258.398 10.11 258.398 10.137 258.398 10.164 258.398 10.191 258.398 10.218 258.398 10.245 258.398 10.272 258.398 10.299 258.398 10.326 258.398 10.353 258.398 10.38 258.398 10.407 258.398 4.196 258.398 4.48075 258.398 4.7655 258.398 5.05025 258.398 5.335 258.398 5.61975 258.398 5.9045 258.398 6.18925 258.398 6.474 258.398 6.75875 258.398 7.0435 258.398 7.32825 258.398 7.613 258.398 7.89775 258.398 8.1825 258.398 8.46725 258.398 1.553 258.398 1.23356 258.398 0.914125 258.398 0.594687 258.398 0.27525 258.398 -0.0441875 258.398 -0.363625 258.398 -0.683063 258.398 -1.0025 258.398 -1.32194 258.398 -1.64138 258.398 -1.96081 258.398 -2.28025 258.398 -2.59969 258.398 -2.91913 258.398 -3.23856 258.398 1.123 258.398 1.12425 258.398 1.1255 258.398 1.12675 258.398 1.128 258.398 1.12925 258.398 1.1305 258.398 1.13175 258.398 1.133 258.398 1.13425 258.398 1.1355 258.398 1.13675 258.398 1.138 258.398 1.13925 258.398 1.1405 258.398 1.14175 ;
6, 258.398 9.55 258.398 9.95619 258.398 10.3624 258.398 10.7686 258.398 11.1748 258.398 11.5809 258.398 11.9871 258.398 12.3933 258.398 12.7995 258.398 13.2057 258.398 13.6119 258.398 14.0181 258.398 14.4243 258.398 14.8304 258.398 15.2366 258.398 15.6428 258.398 24.884 258.398 24.9159 258.398 24.9477 258.398 24.9796 258.398 25.0115 258.398 25.0434 258.398 25.0753 258.398 25.1071 258.398 25.139 258.398 25.1709 258.398 25.2027 258.398 25.2346 258.398 25.2665 258.398 25.2984 258.398 25.3302 258.398 25.3621 258.398 14.846 258.398 14.5342 258.398 14.2224 258.398 13.9106 258.398 13.5988 258.398 13.2869 258.398 12.9751 258.398 12.6633 258.398 12.3515 258.398 12.0397 258.398 11.7279 258.398 11.4161 258.398 11.1043 258.398 10.7924 258.398 10.4806 258.398 10.1688 258.398 2.708 258.398 2.76256 258.398 2.81713 258.398 2.87169 258.398 2.92625 258.398 2.98081 258.398 3.03538 258.398 3.08994 258.398 3.1445 258.398 3.19906 258.398 3.25363 258.398 3.30819 258.398 3.36275 258.398 3.41731 258.398 3.47188 258.398 3.52644 258.398 10.099 258.398 10.0013 258.398 9.90362 258.398 9.80594 258.398 9.70825 258.398 9.61056 258.398 9.51287 258.398 9.41519 258.398 9.3175 258.398 9.21981 258.398 9.12213 258.398 9.02444 258.398 8.92675 258.398 8.82906 258.398 8.73137 258.398 8.63369 258.398 4.378 258.398 4.80187 258.398 5.22575 258.398 5.64963 258.398 6.0735 258.398 6.49737 258.398 6.92125 258.398 7.34513 258.398 7.769 258.398 8.19288 258.398 8.61675 258.398 9.04063 258.398 9.4645 258.398 9.88837 258.398 10.3123 258.398 10.7361 258.398 1.683 258.398 1.19738 258.398 0.71175 258.398 0.226125 258.398 -0.2595 258.398 -0.745125 258.398 -1.23075 258.398 -1.71637 258.398 -2.202 258.398 -2.68762 258.398 -3.17325 258.398 -3.65888 258.398 -4.1445 258.398 -4.63012 258.398 -5.11575 258.398 -5.60137 258.398 0.678 258.398 0.811438 258.398 0.944875 258.398 1.07831 258.398 1.21175 258.398 1.34519 258.398 1.47863 258.398 1.61206 258.398 1.7455 258.398 1.87894 258.398 2.01238 258.398 2.14581 258.398 2.27925 258.398 2.41269 258.398 2.54612 258.398 2.67956 ;
7, 258.398 10.06 258.398 10.5655 258.398 11.071 258.398 11.5765 258.398 12.082 258.398 12.5875 258.398 13.093 258.398 13.5985 258.398 14.104 258.398 14.6095 258.398 15.115 258.398 15.6205 258.398 16.126 258.398 16.6315 258.398 17.137 258.398 17.6425 258.398 22.529 258.398 22.4338 258.398 22.3386 258.398 22.2434 258.398 22.1483 258.398 22.0531 258.398 21.9579 258.398 21.8627 258.398 21.7675 258.398 21.6723 258.398 21.5771 258.398 21.4819 258.398 21.3867 258.398 21.2916 258.398 21.1964 258.398 21.1012 258.398 15.821 258.398 15.5014 258.398 15.1819 258.398 14.8623 258.398 14.5427 258.398 14.2232 258.398 13.9036 258.398 13.5841 258.398 13.2645 258.398 12.9449 258.398 12.6254 258.398 12.3058 258.398 11.9863 258.398 11.6667 258.398 11.3471 258.398 11.0276 258.398 3.288 258.398 3.34919 258.398 3.41037 258.398 3.47156 258.398 3.53275 258.398 3.59394 258.398 3.65512 258.398 3.71631 258.398 3.7775 258.398 3.83869 258.398 3.89987 258.398 3.96106 258.398 4.02225 258.398 4.08344 258.398 4.14462 258.398 4.20581 258.398 11.678 258.398 11.4684 258.398 11.2588 258.398 11.0491 258.398 10.8395 258.398 10.6299 258.398 10.4203 258.398 10.2106 258.398 10.001 258.398 9.79138 258.398 9.58175 258.398 9.37213 258.398 9.1625 258.398 8.95288 258.398 8.74325 258.398 8.53363 258.398 4.62 258.398 5.09731 258.398 5.57463 258.398 6.05194 258.398 6.52925 258.398 7.00656 258.398 7.48388 258.398 7.96119 258.398 8.4385 258.398 8.91581 258.398 9.39313 258.398 9.87044 258.398 10.3478 258.398 10.8251 258.398 11.3024 258.398 11.7797 258.398 1.62 258.398 1.13544 258.398 0.650875 258.398 0.166312 258.398 -0.31825 258.398 -0.802813 258.398 -1.28738 258.398 -1.77194 258.398 -2.2565 258.398 -2.74106 258.398 -3.22563 258.398 -3.71019 258.398 -4.19475 258.398 -4.67931 258.398 -5.16388 258.398 -5.64844 258.398 0.923 258.398 0.95475 258.398 0.9865 258.398 1.01825 258.398 1.05 258.398 1.08175 258.398 1.1135 258.398 1.14525 258.398 1.177 258.398 1.20875 258.398 1.2405 258.398 1.27225 258.398 1.304 258.398 1.33575 258.398 1.3675 258.398 1.39925 ;
8, 258.398 11.213 258.398 11.7196 258.398 12.2261 258.398 12.7327 258.398 13.2392 258.398 13.7458 258.398 14.2524 258.398 14.7589 258.398 15.2655 258.398 15.7721 258.398 16.2786 258.398 16.7852 258.398 17.2918 258.398 17.7983 258.398 18.3049 258.398 18.8114 258.398 20.218 258.398 20.1513 258.398 20.0845 258.398 20.0177 258.398 19.951 258.398 19.8843 258.398 19.8175 258.398 19.7508 258.398 19.684 258.398 19.6172 258.398 19.5505 258.398 19.4838 258.398 19.417 258.398 19.3502 258.398 19.2835 258.398 19.2168 258.398 13.548 258.398 13.2182 258.398 12.8884 258.398 12.5586 258.398 12.2287 258.398 11.8989 258.398 11.5691 258.398 11.2393 258.398 10.9095 258.398 10.5797 258.398 10.2499 258.398 9.92006 258.398 9.59025 258.398 9.26044 258.398 8.93062 258.398 8.60081 258.398 4.771 258.398 4.88706 258.398 5.00312 258.398 5.11919 258.398 5.23525 258.398 5.35131 258.398 5.46738 258.398 5.58344 258.398 5.6995 258.398 5.81556 258.398 5.93163 258.398 6.04769 258.398 6.16375 258.398 6.27981 258.398 6.39588 258.398 6.51194 258.398 11.282 258.398 10.9748 258.398 10.6675 258.398 10.3603 258.398 10.053 258.398 9.74575 258.398 9.4385 258.398 9.13125 258.398 8.824 258.398 8.51675 258.398 8.2095 258.398 7.90225 258.398 7.595 258.398 7.28775 258.398 6.9805 258.398 6.67325 258.398 4.032 258.398 4.5885 258.398 5.145 258.398 5.7015 258.398 6.258 258.398 6.8145 258.398 7.371 258.398 7.9275 258.398 8.484 258.398 9.0405 258.398 9.597 258.398 10.1535 258.398 10.71 258.398 11.2665 258.398 11.823 258.398 12.3795 258.398 1.943 258.398 1.24381 258.398 0.544625 258.398 -0.154563 258.398 -0.85375 258.398 -1.55294 258.398 -2.25213 258.398 -2.95131 258.398 -3.6505 258.398 -4.34969 258.398 -5.04888 258.398 -5.74806 258.398 -6.44725 258.398 -7.14644 258.398 -7.84563 258.398 -8.54481 258.398 1.093 258.398 1.17744 258.398 1.26187 258.398 1.34631 258.398 1.43075 258.398 1.51519 258.398 1.59963 258.398 1.68406 258.398 1.7685 258.398 1.85294 258.398 1.93737 258.398 2.02181 258.398 2.10625 258.398 2.19069 258.398 2.27513 258.398 2.35956 ;
