0, 473.73 5.667 473.73 5.72427 473.73 5.78155 473.73 5.83882 473.73 5.89609 473.73 5.95336 473.73 6.01064 473.73 6.06791 473.73 6.12518 473.73 6.18245 473.73 6.23973 473.73 6.297 473.73 7.07682 473.73 7.85664 473.73 8.63645 473.73 9.41627 473.73 10.1961 473.73 10.9759 473.73 11.7557 473.73 12.5355 473.73 13.3154 473.73 14.0952 473.73 14.875 473.73 14.6404 473.73 14.4057 473.73 14.1711 473.73 13.9365 473.73 13.7018 473.73 13.4672 473.73 13.2325 473.73 12.9979 473.73 12.7633 473.73 12.5286 473.73 12.294 473.73 12.5965 473.73 12.8991 473.73 13.2016 473.73 13.5042 473.73 13.8067 473.73 14.1093 473.73 14.4118 473.73 14.7144 473.73 15.0169 473.73 15.3195 473.73 15.622 473.73 14.3655 473.73 13.1089 473.73 11.8524 473.73 10.5958 473.73 9.33927 473.73 8.08273 473.73 6.82618 473.73 5.56964 473.73 4.31309 473.73 3.05655 473.73 1.8 473.73 3.34718 473.73 4.89436 473.73 6.44155 473.73 7.98873 473.73 9.53591 473.73 11.0831 473.73 12.6303 473.73 14.1775 473.73 15.7246 473.73 17.2718 473.73 18.819 473.73 17.3967 473.73 15.9745 473.73 14.5522 473.73 13.1299 473.73 11.7076 473.73 10.2854 473.73 8.86309 473.73 7.44082 473.73 6.01855 473.73 4.59627 473.73 3.174 473.73 2.96691 473.73 2.75982 473.73 2.55273 473.73 2.34564 473.73 2.13855 473.73 1.93145 473.73 1.72436 473.73 1.51727 473.73 1.31018 473.73 1.10309 ;
1, 473.73 1.754 473.73 1.97827 473.73 2.20255 473.73 2.42682 473.73 2.65109 473.73 2.87536 473.73 3.09964 473.73 3.32391 473.73 3.54818 473.73 3.77245 473.73 3.99673 473.73 4.221 473.73 5.03891 473.73 5.85682 473.73 6.67473 473.73 7.49264 473.73 8.31055 473.73 9.12845 473.73 9.94636 473.73 10.7643 473.73 11.5822 473.73 12.4001 473.73 13.218 473.73 13.2125 473.73 13.2071 473.73 13.2016 473.73 13.1962 473.73 13.1907 473.73 13.1853 473.73 13.1798 473.73 13.1744 473.73 13.1689 473.73 13.1635 473.73 13.158 473.73 13.4523 473.73 13.7465 473.73 14.0408 473.73 14.3351 473.73 14.6294 473.73 14.9236 473.73 15.2179 473.73 15.5122 473.73 15.8065 473.73 16.1007 473.73 16.395 473.73 15.124 473.73 13.853 473.73 12.582 473.73 11.311 473.73 10.04 473.73 8.769 473.73 7.498 473.73 6.227 473.73 4.956 473.73 3.685 473.73 2.414 473.73 3.96482 473.73 5.51564 473.73 7.06645 473.73 8.61727 473.73 10.1681 473.73 11.7189 473.73 13.2697 473.73 14.8205 473.73 16.3714 473.73 17.9222 473.73 19.473 473.73 17.977 473.73 16.481 473.73 14.985 473.73 13.489 473.73 11.993 473.73 10.497 473.73 9.001 473.73 7.505 473.73 6.009 473.73 4.513 473.73 3.017 473.73 2.81373 473.73 2.61045 473.73 2.40718 473.73 2.20391 473.73 2.00064 473.73 1.79736 473.73 1.59409 473.73 1.39082 473.73 1.18755 473.73 0.984273 ;
2, 473.73 2.546 473.73 2.91555 473.73 3.28509 473.73 3.65464 473.73 4.02418 473.73 4.39373 473.73 4.76327 473.73 5.13282 473.73 5.50236 473.73 5.87191 473.73 6.24145 473.73 6.611 473.73 7.57845 473.73 8.54591 473.73 9.51336 473.73 10.4808 473.73 11.4483 473.73 12.4157 473.73 13.3832 473.73 14.3506 473.73 15.3181 473.73 16.2855 473.73 17.253 473.73 16.7382 473.73 16.2234 473.73 15.7085 473.73 15.1937 473.73 14.6789 473.73 14.1641 473.73 13.6493 473.73 13.1345 473.73 12.6196 473.73 12.1048 473.73 11.59 473.73 12.027 473.73 12.464 473.73 12.901 473.73 13.338 473.73 13.775 473.73 14.212 473.73 14.649 473.73 15.086 473.73 15.523 473.73 15.96 473.73 16.397 473.73 15.131 473.73 13.865 473.73 12.599 473.73 11.333 473.73 10.067 473.73 8.801 473.73 7.535 473.73 6.269 473.73 5.003 473.73 3.737 473.73 2.471 473.73 4.10573 473.73 5.74045 473.73 7.37518 473.73 9.00991 473.73 10.6446 473.73 12.2794 473.73 13.9141 473.73 15.5488 473.73 17.1835 473.73 18.8183 473.73 20.453 473.73 18.822 473.73 17.191 473.73 15.56 473.73 13.929 473.73 12.298 473.73 10.667 473.73 9.036 473.73 7.405 473.73 5.774 473.73 4.143 473.73 2.512 473.73 2.35345 473.73 2.19491 473.73 2.03636 473.73 1.87782 473.73 1.71927 473.73 1.56073 473.73 1.40218 473.73 1.24364 473.73 1.08509 473.73 0.926545 ;
3, 473.73 4.529 473.73 4.486 473.73 4.443 473.73 4.4 473.73 4.357 473.73 4.314 473.73 4.271 473.73 4.228 473.73 4.185 473.73 4.142 473.73 4.099 473.73 4.056 473.73 5.30527 473.73 6.55455 473.73 7.80382 473.73 9.05309 473.73 10.3024 473.73 11.5516 473.73 12.8009 473.73 14.0502 473.73 15.2995 473.73 16.5487 473.73 17.798 473.73 17.0749 473.73 16.3518 473.73 15.6287 473.73 14.9056 473.73 14.1825 473.73 13.4595 473.73 12.7364 473.73 12.0133 473.73 11.2902 473.73 10.5671 473.73 9.844 473.73 10.3915 473.73 10.9391 473.73 11.4866 473.73 12.0342 473.73 12.5817 473.73 13.1293 473.73 13.6768 473.73 14.2244 473.73 14.7719 473.73 15.3195 473.73 15.867 473.73 14.6489 473.73 13.4308 473.73 12.2127 473.73 10.9946 473.73 9.77655 473.73 8.55845 473.73 7.34036 473.73 6.12227 473.73 4.90418 473.73 3.68609 473.73 2.468 473.73 4.19373 473.73 5.91945 473.73 7.64518 473.73 9.37091 473.73 11.0966 473.73 12.8224 473.73 14.5481 473.73 16.2738 473.73 17.9995 473.73 19.7253 473.73 21.451 473.73 19.7328 473.73 18.0146 473.73 16.2965 473.73 14.5783 473.73 12.8601 473.73 11.1419 473.73 9.42373 473.73 7.70555 473.73 5.98736 473.73 4.26918 473.73 2.551 473.73 2.39927 473.73 2.24755 473.73 2.09582 473.73 1.94409 473.73 1.79236 473.73 1.64064 473.73 1.48891 473.73 1.33718 473.73 1.18545 473.73 1.03373 ;
4, 473.73 3.038 473.73 3.115 473.73 3.192 473.73 3.269 473.73 3.346 473.73 3.423 473.73 3.5 473.73 3.577 473.73 3.654 473.73 3.731 473.73 3.808 473.73 3.885 473.73 4.98673 473.73 6.08845 473.73 7.19018 473.73 8.29191 473.73 9.39364 473.73 10.4954 473.73 11.5971 473.73 12.6988 473.73 13.8005 473.73 14.9023 473.73 16.004 473.73 15.4573 473.73 14.9105 473.73 14.3638 473.73 13.8171 473.73 13.2704 473.73 12.7236 473.73 12.1769 473.73 11.6302 473.73 11.0835 473.73 10.5367 473.73 9.99 473.73 10.62 473.73 11.25 473.73 11.88 473.73 12.51 473.73 13.14 473.73 13.77 473.73 14.4 473.73 15.03 473.73 15.66 473.73 16.29 473.73 16.92 473.73 15.5486 473.73 14.1773 473.73 12.8059 473.73 11.4345 473.73 10.0632 473.73 8.69182 473.73 7.32045 473.73 5.94909 473.73 4.57773 473.73 3.20636 473.73 1.835 473.73 3.63518 473.73 5.43536 473.73 7.23555 473.73 9.03573 473.73 10.8359 473.73 12.6361 473.73 14.4363 473.73 16.2365 473.73 18.0366 473.73 19.8368 473.73 21.637 473.73 19.9093 473.73 18.1815 473.73 16.4538 473.73 14.7261 473.73 12.9984 473.73 11.2706 473.73 9.54291 473.73 7.81518 473.73 6.08745 473.73 4.35973 473.73 2.632 473.73 2.47318 473.73 2.31436 473.73 2.15555 473.73 1.99673 473.73 1.83791 473.73 1.67909 473.73 1.52027 473.73 1.36145 473.73 1.20264 473.73 1.04382 ;
5, 473.73 2.413 473.73 2.464 473.73 2.515 473.73 2.566 473.73 2.617 473.73 2.668 473.73 2.719 473.73 2.77 473.73 2.821 473.73 2.872 473.73 2.923 473.73 2.974 473.73 4.284 473.73 5.594 473.73 6.904 473.73 8.214 473.73 9.524 473.73 10.834 473.73 12.144 473.73 13.454 473.73 14.764 473.73 16.074 473.73 17.384 473.73 16.7959 473.73 16.2078 473.73 15.6197 473.73 15.0316 473.73 14.4435 473.73 13.8555 473.73 13.2674 473.73 12.6793 473.73 12.0912 473.73 11.5031 473.73 10.915 473.73 11.5335 473.73 12.1521 473.73 12.7706 473.73 13.3892 473.73 14.0077 473.73 14.6263 473.73 15.2448 473.73 15.8634 473.73 16.4819 473.73 17.1005 473.73 17.719 473.73 16.2358 473.73 14.7526 473.73 13.2695 473.73 11.7863 473.73 10.3031 473.73 8.81991 473.73 7.33673 473.73 5.85355 473.73 4.37036 473.73 2.88718 473.73 1.404 473.73 3.35945 473.73 5.31491 473.73 7.27036 473.73 9.22582 473.73 11.1813 473.73 13.1367 473.73 15.0922 473.73 17.0476 473.73 19.0031 473.73 20.9585 473.73 22.914 473.73 21.0315 473.73 19.1491 473.73 17.2666 473.73 15.3842 473.73 13.5017 473.73 11.6193 473.73 9.73682 473.73 7.85436 473.73 5.97191 473.73 4.08945 473.73 2.207 473.73 2.07827 473.73 1.94955 473.73 1.82082 473.73 1.69209 473.73 1.56336 473.73 1.43464 473.73 1.30591 473.73 1.17718 473.73 1.04845 473.73 0.919727 ;
6, 473.73 3.124 473.73 3.08127 473.73 3.03855 473.73 2.99582 473.73 2.95309 473.73 2.91036 473.73 2.86764 473.73 2.82491 473.73 2.78218 473.73 2.73945 473.73 2.69673 473.73 2.654 473.73 4.21445 473.73 5.77491 473.73 7.33536 473.73 8.89582 473.73 10.4563 473.73 12.0167 473.73 13.5772 473.73 15.1376 473.73 16.6981 473.73 18.2585 473.73 19.819 473.73 19.1675 473.73 18.5161 473.73 17.8646 473.73 17.2132 473.73 16.5617 473.73 15.9103 473.73 15.2588 473.73 14.6074 473.73 13.9559 473.73 13.3045 473.73 12.653 473.73 13.0869 473.73 13.5208 473.73 13.9547 473.73 14.3886 473.73 14.8225 473.73 15.2565 473.73 15.6904 473.73 16.1243 473.73 16.5582 473.73 16.9921 473.73 17.426 473.73 15.9705 473.73 14.5149 473.73 13.0594 473.73 11.6038 473.73 10.1483 473.73 8.69273 473.73 7.23718 473.73 5.78164 473.73 4.32609 473.73 2.87055 473.73 1.415 473.73 3.42782 473.73 5.44064 473.73 7.45345 473.73 9.46627 473.73 11.4791 473.73 13.4919 473.73 15.5047 473.73 17.5175 473.73 19.5304 473.73 21.5432 473.73 23.556 473.73 21.5465 473.73 19.5369 473.73 17.5274 473.73 15.5178 473.73 13.5083 473.73 11.4987 473.73 9.48918 473.73 7.47964 473.73 5.47009 473.73 3.46055 473.73 1.451 473.73 1.39445 473.73 1.33791 473.73 1.28136 473.73 1.22482 473.73 1.16827 473.73 1.11173 473.73 1.05518 473.73 0.998636 473.73 0.942091 473.73 0.885545 ;
7, 473.73 2.404 473.73 2.63145 473.73 2.85891 473.73 3.08636 473.73 3.31382 473.73 3.54127 473.73 3.76873 473.73 3.99618 473.73 4.22364 473.73 4.45109 473.73 4.67855 473.73 4.906 473.73 5.99845 473.73 7.09091 473.73 8.18336 473.73 9.27582 473.73 10.3683 473.73 11.4607 473.73 12.5532 473.73 13.6456 473.73 14.7381 473.73 15.8305 473.73 16.923 473.73 16.4252 473.73 15.9274 473.73 15.4295 473.73 14.9317 473.73 14.4339 473.73 13.9361 473.73 13.4383 473.73 12.9405 473.73 12.4426 473.73 11.9448 473.73 11.447 473.73 11.9615 473.73 12.4761 473.73 12.9906 473.73 13.5052 473.73 14.0197 473.73 14.5343 473.73 15.0488 473.73 15.5634 473.73 16.0779 473.73 16.5925 473.73 17.107 473.73 15.7599 473.73 14.4128 473.73 13.0657 473.73 11.7186 473.73 10.3715 473.73 9.02445 473.73 7.67736 473.73 6.33027 473.73 4.98318 473.73 3.63609 473.73 2.289 473.73 4.27318 473.73 6.25736 473.73 8.24155 473.73 10.2257 473.73 12.2099 473.73 14.1941 473.73 16.1783 473.73 18.1625 473.73 20.1466 473.73 22.1308 473.73 24.115 473.73 22.119 473.73 20.123 473.73 18.127 473.73 16.131 473.73 14.135 473.73 12.139 473.73 10.143 473.73 8.147 473.73 6.151 473.73 4.155 473.73 2.159 473.73 2.04809 473.73 1.93718 473.73 1.82627 473.73 1.71536 473.73 1.60445 473.73 1.49355 473.73 1.38264 473.73 1.27173 473.73 1.16082 473.73 1.04991 ;
8, 473.73 3.257 473.73 3.25364 473.73 3.25027 473.73 3.24691 473.73 3.24355 473.73 3.24018 473.73 3.23682 473.73 3.23345 473.73 3.23009 473.73 3.22673 473.73 3.22336 473.73 3.22 473.73 4.48627 473.73 5.75255 473.73 7.01882 473.73 8.28509 473.73 9.55136 473.73 10.8176 473.73 12.0839 473.73 13.3502 473.73 14.6165 473.73 15.8827 473.73 17.149 473.73 16.4917 473.73 15.8345 473.73 15.1772 473.73 14.5199 473.73 13.8626 473.73 13.2054 473.73 12.5481 473.73 11.8908 473.73 11.2335 473.73 10.5763 473.73 9.919 473.73 10.614 473.73 11.309 473.73 12.004 473.73 12.699 473.73 13.394 473.73 14.089 473.73 14.784 473.73 15.479 473.73 16.174 473.73 16.869 473.73 17.564 473.73 16.2279 473.73 14.8918 473.73 13.5557 473.73 12.2196 473.73 10.8835 473.73 9.54745 473.73 8.21136 473.73 6.87527 473.73 5.53918 473.73 4.20309 473.73 2.867 473.73 4.94955 473.73 7.03209 473.73 9.11464 473.73 11.1972 473.73 13.2797 473.73 15.3623 473.73 17.4448 473.73 19.5274 473.73 21.6099 473.73 23.6925 473.73 25.775 473.73 23.6365 473.73 21.4979 473.73 19.3594 473.73 17.2208 473.73 15.0823 473.73 12.9437 473.73 10.8052 473.73 8.66664 473.73 6.52809 473.73 4.38955 473.73 2.251 473.73 2.12627 473.73 2.00155 473.73 1.87682 473.73 1.75209 473.73 1.62736 473.73 1.50264 473.73 1.37791 473.73 1.25318 473.73 1.12845 473.73 1.00373 ;
