0, 344.531 5.639 344.531 5.64682 344.531 5.65464 344.531 5.66245 344.531 5.67027 344.531 5.67809 344.531 5.68591 344.531 5.69373 344.531 5.70155 344.531 5.70936 344.531 5.71718 344.531 5.725 344.531 7.00309 344.531 8.28118 344.531 9.55927 344.531 10.8374 344.531 12.1155 344.531 13.3935 344.531 14.6716 344.531 15.9497 344.531 17.2278 344.531 18.5059 344.531 19.784 344.531 18.565 344.531 17.346 344.531 16.127 344.531 14.908 344.531 13.689 344.531 12.47 344.531 11.251 344.531 10.032 344.531 8.813 344.531 7.594 344.531 6.375 344.531 5.89927 344.531 5.42355 344.531 4.94782 344.531 4.47209 344.531 3.99636 344.531 3.52064 344.531 3.04491 344.531 2.56918 344.531 2.09345 344.531 1.61773 344.531 1.142 344.531 2.13473 344.531 3.12745 344.531 4.12018 344.531 5.11291 344.531 6.10564 344.531 7.09836 344.531 8.09109 344.531 9.08382 344.531 10.0765 344.531 11.0693 344.531 12.062 344.531 11.1657 344.531 10.2695 344.531 9.37318 344.531 8.47691 344.531 7.58064 344.531 6.68436 344.531 5.78809 344.531 4.89182 344.531 3.99555 344.531 3.09927 344.531 2.203 344.531 2.19445 344.531 2.18591 344.531 2.17736 344.531 2.16882 344.531 2.16027 344.531 2.15173 344.531 2.14318 344.531 2.13464 344.531 2.12609 344.531 2.11755 344.531 2.109 344.531 1.97864 344.531 1.84827 344.531 1.71791 344.531 1.58755 344.531 1.45718 344.531 1.32682 344.531 1.19645 344.531 1.06609 344.531 0.935727 344.531 0.805364 ;
1, 344.531 5.197 344.531 5.38073 344.531 5.56445 344.531 5.74818 344.531 5.93191 344.531 6.11564 344.531 6.29936 344.531 6.48309 344.531 6.66682 344.531 6.85055 344.531 7.03427 344.531 7.218 344.531 8.64591 344.531 10.0738 344.531 11.5017 344.531 12.9296 344.531 14.3575 344.531 15.7855 344.531 17.2134 344.531 18.6413 344.531 20.0692 344.531 21.4971 344.531 22.925 344.531 21.5391 344.531 20.1532 344.531 18.7673 344.531 17.3814 344.531 15.9955 344.531 14.6095 344.531 13.2236 344.531 11.8377 344.531 10.4518 344.531 9.06591 344.531 7.68 344.531 7.294 344.531 6.908 344.531 6.522 344.531 6.136 344.531 5.75 344.531 5.364 344.531 4.978 344.531 4.592 344.531 4.206 344.531 3.82 344.531 3.434 344.531 4.29218 344.531 5.15036 344.531 6.00855 344.531 6.86673 344.531 7.72491 344.531 8.58309 344.531 9.44127 344.531 10.2995 344.531 11.1576 344.531 12.0158 344.531 12.874 344.531 11.9149 344.531 10.9558 344.531 9.99673 344.531 9.03764 344.531 8.07855 344.531 7.11945 344.531 6.16036 344.531 5.20127 344.531 4.24218 344.531 3.28309 344.531 2.324 344.531 2.27455 344.531 2.22509 344.531 2.17564 344.531 2.12618 344.531 2.07673 344.531 2.02727 344.531 1.97782 344.531 1.92836 344.531 1.87891 344.531 1.82945 344.531 1.78 344.531 1.68036 344.531 1.58073 344.531 1.48109 344.531 1.38145 344.531 1.28182 344.531 1.18218 344.531 1.08255 344.531 0.982909 344.531 0.883273 344.531 0.783636 ;
2, 344.531 4.793 344.531 4.88273 344.531 4.97245 344.531 5.06218 344.531 5.15191 344.531 5.24164 344.531 5.33136 344.531 5.42109 344.531 5.51082 344.531 5.60055 344.531 5.69027 344.531 5.78 344.531 7.58745 344.531 9.39491 344.531 11.2024 344.531 13.0098 344.531 14.8173 344.531 16.6247 344.531 18.4322 344.531 20.2396 344.531 22.0471 344.531 23.8545 344.531 25.662 344.531 24.0512 344.531 22.4404 344.531 20.8295 344.531 19.2187 344.531 17.6079 344.531 15.9971 344.531 14.3863 344.531 12.7755 344.531 11.1646 344.531 9.55382 344.531 7.943 344.531 7.58527 344.531 7.22755 344.531 6.86982 344.531 6.51209 344.531 6.15436 344.531 5.79664 344.531 5.43891 344.531 5.08118 344.531 4.72345 344.531 4.36573 344.531 4.008 344.531 5.03145 344.531 6.05491 344.531 7.07836 344.531 8.10182 344.531 9.12527 344.531 10.1487 344.531 11.1722 344.531 12.1956 344.531 13.2191 344.531 14.2425 344.531 15.266 344.531 14.1081 344.531 12.9502 344.531 11.7923 344.531 10.6344 344.531 9.47645 344.531 8.31855 344.531 7.16064 344.531 6.00273 344.531 4.84482 344.531 3.68691 344.531 2.529 344.531 2.42336 344.531 2.31773 344.531 2.21209 344.531 2.10645 344.531 2.00082 344.531 1.89518 344.531 1.78955 344.531 1.68391 344.531 1.57827 344.531 1.47264 344.531 1.367 344.531 1.29718 344.531 1.22736 344.531 1.15755 344.531 1.08773 344.531 1.01791 344.531 0.948091 344.531 0.878273 344.531 0.808455 344.531 0.738636 344.531 0.668818 ;
3, 344.531 8.013 344.531 8.02118 344.531 8.02936 344.531 8.03755 344.531 8.04573 344.531 8.05391 344.531 8.06209 344.531 8.07027 344.531 8.07845 344.531 8.08664 344.531 8.09482 344.531 8.103 344.531 9.91655 344.531 11.7301 344.531 13.5436 344.531 15.3572 344.531 17.1707 344.531 18.9843 344.531 20.7978 344.531 22.6114 344.531 24.4249 344.531 26.2385 344.531 28.052 344.531 26.2543 344.531 24.4565 344.531 22.6588 344.531 20.8611 344.531 19.0634 344.531 17.2656 344.531 15.4679 344.531 13.6702 344.531 11.8725 344.531 10.0747 344.531 8.277 344.531 7.69518 344.531 7.11336 344.531 6.53155 344.531 5.94973 344.531 5.36791 344.531 4.78609 344.531 4.20427 344.531 3.62245 344.531 3.04064 344.531 2.45882 344.531 1.877 344.531 3.35664 344.531 4.83627 344.531 6.31591 344.531 7.79555 344.531 9.27518 344.531 10.7548 344.531 12.2345 344.531 13.7141 344.531 15.1937 344.531 16.6734 344.531 18.153 344.531 16.755 344.531 15.357 344.531 13.959 344.531 12.561 344.531 11.163 344.531 9.765 344.531 8.367 344.531 6.969 344.531 5.571 344.531 4.173 344.531 2.775 344.531 2.65309 344.531 2.53118 344.531 2.40927 344.531 2.28736 344.531 2.16545 344.531 2.04355 344.531 1.92164 344.531 1.79973 344.531 1.67782 344.531 1.55591 344.531 1.434 344.531 1.37464 344.531 1.31527 344.531 1.25591 344.531 1.19655 344.531 1.13718 344.531 1.07782 344.531 1.01845 344.531 0.959091 344.531 0.899727 344.531 0.840364 ;
4, 344.531 6.692 344.531 6.98909 344.531 7.28618 344.531 7.58327 344.531 7.88036 344.531 8.17745 344.531 8.47455 344.531 8.77164 344.531 9.06873 344.531 9.36582 344.531 9.66291 344.531 9.96 344.531 11.1614 344.531 12.3627 344.531 13.5641 344.531 14.7655 344.531 15.9668 344.531 17.1682 344.531 18.3695 344.531 19.5709 344.531 20.7723 344.531 21.9736 344.531 23.175 344.531 21.7929 344.531 20.4108 344.531 19.0287 344.531 17.6466 344.531 16.2645 344.531 14.8825 344.531 13.5004 344.531 12.1183 344.531 10.7362 344.531 9.35409 344.531 7.972 344.531 7.44573 344.531 6.91945 344.531 6.39318 344.531 5.86691 344.531 5.34064 344.531 4.81436 344.531 4.28809 344.531 3.76182 344.531 3.23555 344.531 2.70927 344.531 2.183 344.531 3.63964 344.531 5.09627 344.531 6.55291 344.531 8.00955 344.531 9.46618 344.531 10.9228 344.531 12.3795 344.531 13.8361 344.531 15.2927 344.531 16.7494 344.531 18.206 344.531 16.7671 344.531 15.3282 344.531 13.8893 344.531 12.4504 344.531 11.0115 344.531 9.57255 344.531 8.13364 344.531 6.69473 344.531 5.25582 344.531 3.81691 344.531 2.378 344.531 2.30209 344.531 2.22618 344.531 2.15027 344.531 2.07436 344.531 1.99845 344.531 1.92255 344.531 1.84664 344.531 1.77073 344.531 1.69482 344.531 1.61891 344.531 1.543 344.531 1.46855 344.531 1.39409 344.531 1.31964 344.531 1.24518 344.531 1.17073 344.531 1.09627 344.531 1.02182 344.531 0.947364 344.531 0.872909 344.531 0.798455 ;
5, 344.531 3.066 344.531 3.92627 344.531 4.78655 344.531 5.64682 344.531 6.50709 344.531 7.36736 344.531 8.22764 344.531 9.08791 344.531 9.94818 344.531 10.8085 344.531 11.6687 344.531 12.529 344.531 13.5855 344.531 14.6419 344.531 15.6984 344.531 16.7548 344.531 17.8113 344.531 18.8677 344.531 19.9242 344.531 20.9806 344.531 22.0371 344.531 23.0935 344.531 24.15 344.531 22.5674 344.531 20.9847 344.531 19.4021 344.531 17.8195 344.531 16.2368 344.531 14.6542 344.531 13.0715 344.531 11.4889 344.531 9.90627 344.531 8.32364 344.531 6.741 344.531 6.57182 344.531 6.40264 344.531 6.23345 344.531 6.06427 344.531 5.89509 344.531 5.72591 344.531 5.55673 344.531 5.38755 344.531 5.21836 344.531 5.04918 344.531 4.88 344.531 6.05936 344.531 7.23873 344.531 8.41809 344.531 9.59745 344.531 10.7768 344.531 11.9562 344.531 13.1355 344.531 14.3149 344.531 15.4943 344.531 16.6736 344.531 17.853 344.531 16.474 344.531 15.095 344.531 13.716 344.531 12.337 344.531 10.958 344.531 9.579 344.531 8.2 344.531 6.821 344.531 5.442 344.531 4.063 344.531 2.684 344.531 2.567 344.531 2.45 344.531 2.333 344.531 2.216 344.531 2.099 344.531 1.982 344.531 1.865 344.531 1.748 344.531 1.631 344.531 1.514 344.531 1.397 344.531 1.324 344.531 1.251 344.531 1.178 344.531 1.105 344.531 1.032 344.531 0.959 344.531 0.886 344.531 0.813 344.531 0.74 344.531 0.667 ;
6, 344.531 2.004 344.531 2.81345 344.531 3.62291 344.531 4.43236 344.531 5.24182 344.531 6.05127 344.531 6.86073 344.531 7.67018 344.531 8.47964 344.531 9.28909 344.531 10.0985 344.531 10.908 344.531 12.1865 344.531 13.4651 344.531 14.7436 344.531 16.0222 344.531 17.3007 344.531 18.5793 344.531 19.8578 344.531 21.1364 344.531 22.4149 344.531 23.6935 344.531 24.972 344.531 23.256 344.531 21.54 344.531 19.824 344.531 18.108 344.531 16.392 344.531 14.676 344.531 12.96 344.531 11.244 344.531 9.528 344.531 7.812 344.531 6.096 344.531 5.90782 344.531 5.71964 344.531 5.53145 344.531 5.34327 344.531 5.15509 344.531 4.96691 344.531 4.77873 344.531 4.59055 344.531 4.40236 344.531 4.21418 344.531 4.026 344.531 5.344 344.531 6.662 344.531 7.98 344.531 9.298 344.531 10.616 344.531 11.934 344.531 13.252 344.531 14.57 344.531 15.888 344.531 17.206 344.531 18.524 344.531 17.1017 344.531 15.6795 344.531 14.2572 344.531 12.8349 344.531 11.4126 344.531 9.99036 344.531 8.56809 344.531 7.14582 344.531 5.72355 344.531 4.30127 344.531 2.879 344.531 2.69627 344.531 2.51355 344.531 2.33082 344.531 2.14809 344.531 1.96536 344.531 1.78264 344.531 1.59991 344.531 1.41718 344.531 1.23445 344.531 1.05173 344.531 0.869 344.531 0.849 344.531 0.829 344.531 0.809 344.531 0.789 344.531 0.769 344.531 0.749 344.531 0.729 344.531 0.709 344.531 0.689 344.531 0.669 ;
7, 344.531 3.794 344.531 4.49473 344.531 5.19545 344.531 5.89618 344.531 6.59691 344.531 7.29764 344.531 7.99836 344.531 8.69909 344.531 9.39982 344.531 10.1005 344.531 10.8013 344.531 11.502 344.531 12.5142 344.531 13.5264 344.531 14.5385 344.531 15.5507 344.531 16.5629 344.531 17.5751 344.531 18.5873 344.531 19.5995 344.531 20.6116 344.531 21.6238 344.531 22.636 344.531 21.1325 344.531 19.6289 344.531 18.1254 344.531 16.6218 344.531 15.1183 344.531 13.6147 344.531 12.1112 344.531 10.6076 344.531 9.10409 344.531 7.60055 344.531 6.097 344.531 5.61273 344.531 5.12845 344.531 4.64418 344.531 4.15991 344.531 3.67564 344.531 3.19136 344.531 2.70709 344.531 2.22282 344.531 1.73855 344.531 1.25427 344.531 0.77 344.531 2.769 344.531 4.768 344.531 6.767 344.531 8.766 344.531 10.765 344.531 12.764 344.531 14.763 344.531 16.762 344.531 18.761 344.531 20.76 344.531 22.759 344.531 20.9538 344.531 19.1486 344.531 17.3435 344.531 15.5383 344.531 13.7331 344.531 11.9279 344.531 10.1227 344.531 8.31755 344.531 6.51236 344.531 4.70718 344.531 2.902 344.531 2.743 344.531 2.584 344.531 2.425 344.531 2.266 344.531 2.107 344.531 1.948 344.531 1.789 344.531 1.63 344.531 1.471 344.531 1.312 344.531 1.153 344.531 1.11945 344.531 1.08591 344.531 1.05236 344.531 1.01882 344.531 0.985273 344.531 0.951727 344.531 0.918182 344.531 0.884636 344.531 0.851091 344.531 0.817545 ;
8, 344.531 2.354 344.531 2.89227 344.531 3.43055 344.531 3.96882 344.531 4.50709 344.531 5.04536 344.531 5.58364 344.531 6.12191 344.531 6.66018 344.531 7.19845 344.531 7.73673 344.531 8.275 344.531 9.53382 344.531 10.7926 344.531 12.0515 344.531 13.3103 344.531 14.5691 344.531 15.8279 344.531 17.0867 344.531 18.3455 344.531 19.6044 344.531 20.8632 344.531 22.122 344.531 20.7794 344.531 19.4367 344.531 18.0941 344.531 16.7515 344.531 15.4088 344.531 14.0662 344.531 12.7235 344.531 11.3809 344.531 10.0383 344.531 8.69564 344.531 7.353 344.531 7.08291 344.531 6.81282 344.531 6.54273 344.531 6.27264 344.531 6.00255 344.531 5.73245 344.531 5.46236 344.531 5.19227 344.531 4.92218 344.531 4.65209 344.531 4.382 344.531 6.02364 344.531 7.66527 344.531 9.30691 344.531 10.9485 344.531 12.5902 344.531 14.2318 344.531 15.8735 344.531 17.5151 344.531 19.1567 344.531 20.7984 344.531 22.44 344.531 20.689 344.531 18.938 344.531 17.187 344.531 15.436 344.531 13.685 344.531 11.934 344.531 10.183 344.531 8.432 344.531 6.681 344.531 4.93 344.531 3.179 344.531 3.00891 344.531 2.83882 344.531 2.66873 344.531 2.49864 344.531 2.32855 344.531 2.15845 344.531 1.98836 344.531 1.81827 344.531 1.64818 344.531 1.47809 344.531 1.308 344.531 1.25236 344.531 1.19673 344.531 1.14109 344.531 1.08545 344.531 1.02982 344.531 0.974182 344.531 0.918545 344.531 0.862909 344.531 0.807273 344.531 0.751636 ;
